id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
180506161586,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
180506161602,another group,not detected,,another situation
180506161603,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
180506161608,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180506161615,Woman,good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,another situation
180506161621,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
180506161630,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180506161640,man,good no adverse circumstances were found,,another situation
180506161652,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
181106160021,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
181106160030,another group,not detected,,another situation
181106160049,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",walking on the right side
181106160051,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
181106160095,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
181106160102,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
181106160121,man,good no adverse circumstances were found,"correct, appropriate",another situation
181106160127,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
181106160151,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
181106160158,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
181106160164,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
181106160171,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
181106160217,man,good no adverse circumstances were found,,another situation
181106160243,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
181106160351,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
181106160371,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
181106160475,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
181106160483,child (up to 15 years),"inattention, distraction","confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
181106160497,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
181106160506,child (up to 15 years),good no adverse circumstances were found,,walking on the wrong side
181106160523,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
181106160525,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190206160003,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
190206160013,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
190206160019,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190206160028,man,good no adverse circumstances were found,"correct, appropriate",another situation
190206160052,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190206160071,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190206160079,man,other condition not specified,"confused, hasty, indecisive behaviour",another situation
190206160094,another group,not detected,,another situation
190206160121,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
190206160131,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
190206160257,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
190206160260,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
190206160278,man,"inattention, distraction","confused, hasty, indecisive behaviour",another situation
190206160296,man,not detected,"correct, appropriate",crossing at a marked crossing
190206160309,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
190206160311,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
190206160317,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190206160318,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
190206160323,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
190206160339,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
190206160380,man,good no adverse circumstances were found,"correct, appropriate",another situation
190206160384,Woman,"inattention, distraction","confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
190206160398,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190206160401,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190206160414,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190206160445,another group,not detected,,another situation
190206160466,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190206160474,another group,not detected,,another situation
190206160487,man,good no adverse circumstances were found,,crossing at a marked crossing
190206160497,another group,not detected,,another situation
190206160501,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
190206160502,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190206160504,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190206160517,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306160040,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
190306160066,Woman,"inattention, distraction","confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
190306160080,Woman,"inattention, distraction",Side impact,Crossing outside the crossing (20 metres or more from the crossing)
190306160146,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
190306160222,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306160224,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306160235,man,not detected,"correct, appropriate",another situation
190306160315,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"sudden entry into the roadway from the sidewalk, shoulder",walking on the wrong side
190306160329,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,,crossing at a marked crossing
190306160411,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
190306160470,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
190306160562,man,"inattention, distraction",Side impact,crossing at a marked crossing
190306160590,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
190306160598,Woman,good no adverse circumstances were found,,another situation
190306160674,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306160713,Woman,good no adverse circumstances were found,,walking on the right side
190306160773,man,"inattention, distraction",Side impact,Crossing outside the crossing (20 metres or more from the crossing)
190306160789,another group,not detected,,another situation
190306160824,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,pedestrian entering the roadway near the crosswalk (approx. within 20 m)
190306160860,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190306160870,another group,not detected,,another situation
190306160972,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190306160980,Woman,good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,another situation
190306160985,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
190306161000,child (up to 15 years),good no adverse circumstances were found,,crossing at a marked crossing
190306161057,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190306161080,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306161081,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306161102,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306161134,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306161155,man,"inattention, distraction","correct, appropriate",crossing just in front of or behind a parked vehicle
190306161195,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306161208,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306161224,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306161258,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190306161302,man,good no adverse circumstances were found,"correct, appropriate",another situation
190306161332,another group,not detected,,another situation
190306161425,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
190906160005,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190906160007,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
190906160012,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
190906160039,man,good no adverse circumstances were found,,walking on the right side
190906160044,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190906160083,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190906160085,another group,not detected,,another situation
190906160115,man,other condition not specified,,another situation
190906160132,Woman,good no adverse circumstances were found,,crossing just in front of or behind a parked vehicle
190906160199,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190906160226,man,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
190906160238,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
190906160245,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
190906160253,child (up to 15 years),"inattention, distraction","confused, hasty, indecisive behaviour",crossing just in front of or behind a vehicle at a bus stop
190906160282,child (up to 15 years),"inattention, distraction",sudden change in walking direction,"walking, standing on the pavement"
190906160306,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190906160324,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
190906160388,Woman,good no adverse circumstances were found,,another situation
190906160402,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190906160405,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190906160411,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
190906160425,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",walking on the right side
190906160472,man,not detected,,another situation
190906160473,man,good no adverse circumstances were found,,another situation
190906160516,another group,not detected,,another situation
190906160519,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190906160661,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190906160700,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",crossing at a marked crossing
190906160706,Woman,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
2100180003,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100180007,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100180039,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100180047,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100180051,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100180061,man,"under the influence of drugs, narcotics",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2100180093,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100180094,another group,not detected,,another situation
2100180098,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100180147,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100180189,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2100180265,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100180337,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100180377,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100180378,child (up to 15 years),good no adverse circumstances were found,,another situation
2100180444,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
2100180476,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100180502,another group,not detected,,another situation
2100180535,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100180540,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100180561,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100180569,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100180582,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2100180616,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100180625,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100180662,another group,not detected,,another situation
2100180668,Woman,good no adverse circumstances were found,,another situation
2100180739,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100180744,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entering on the STOP signal
2100180761,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100180772,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100180778,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100180780,child (up to 15 years),not detected,,pedestrian entering on the STOP signal
2100180785,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100180792,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100180803,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100180809,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100180810,child (up to 15 years),"inattention, distraction",sudden entry into the road from a boarding or dividing island,crossing at a marked crossing
2100180838,another group,not detected,,another situation
2100180850,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2100180858,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100180860,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100180888,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100180899,Woman,good no adverse circumstances were found,,another situation
2100180946,man,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",another situation
2100181013,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100181054,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100181069,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entering on the STOP signal
2100181089,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100181218,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100181263,another group,not detected,,another situation
2100181282,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,poor estimation of the distance and speed of the vehicle,another situation
2100181321,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100181328,another group,not detected,,another situation
2100181340,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100181374,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100181380,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100181381,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entering on the STOP signal
2100181383,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100181395,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100181423,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2100181427,man,not detected,poor estimation of the distance and speed of the vehicle,another situation
2100181430,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
2100181441,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100181445,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",crossing at a marked crossing
2100181446,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100181510,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2100181604,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100181674,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2100181680,another group,not detected,,crossing at a marked crossing
2100181696,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100181705,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100181708,another group,not detected,,another situation
2100181745,another group,not detected,,another situation
2100181762,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100181764,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100181820,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100181889,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100181923,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",another situation
2100181955,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100181966,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100181985,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100182002,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100182006,another group,not detected,,another situation
2100182033,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100182036,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100182038,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100182054,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100182135,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100182180,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2100182186,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100182238,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100182271,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100182305,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
2100182310,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100182322,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,Side impact,another situation
2100182353,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100182385,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100182388,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100182447,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100182473,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100182474,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100182496,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100182499,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
2100182512,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
2100182535,Woman,good no adverse circumstances were found,,crossing at a marked crossing
2100182541,child (up to 15 years),not detected,,Crossing outside the crossing (20 metres or more from the crossing)
2100182555,another group,not detected,,another situation
2100182591,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100182636,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100182664,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100182670,Woman,good no adverse circumstances were found,Side impact,crossing just in front of or behind a parked vehicle
2100182697,man,not detected,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
2100182748,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
2100182751,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,,another situation
2100182753,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100182763,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100182826,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100182829,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100182840,another group,not detected,,another situation
2100182904,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100182912,man,"inattention, distraction",Side impact,crossing at a marked crossing
2100182923,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
2100182939,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100182949,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100182984,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,crossing at a marked crossing
2100183000,Woman,"inattention, distraction",sudden entry into the road from a boarding or dividing island,crossing just in front of or behind a vehicle at a bus stop
2100183005,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100183009,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100183045,another group,not detected,,another situation
2100183081,Woman,good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,another situation
2100183107,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100183119,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100183183,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100183282,child (up to 15 years),"inattention, distraction",Side impact,pedestrian entering on the STOP signal
2100183351,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100183354,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
2100183378,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100183410,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100183468,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100183502,Woman,"inattention, distraction",,walking on the right side
2100183533,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
2100183698,man,"inattention, distraction",sudden entry into the road from a boarding or dividing island,another situation
2100183752,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100183769,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,pedestrian entering on the STOP signal
2100183787,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100183817,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100183847,man,good no adverse circumstances were found,"correct, appropriate",another situation
2100183863,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100183943,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100183991,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100184086,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100184094,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100184112,man,not detected,,another situation
2100184128,another group,not detected,,another situation
2100184183,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100184191,Woman,"inattention, distraction",Side impact,crossing at a marked crossing
2100184208,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2100184265,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100184292,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2100184374,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden entry into the road from a boarding or dividing island,pedestrian entering on the STOP signal
2100184376,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
2100184377,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
2100184400,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100184430,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2100184436,another group,not detected,,another situation
2100184444,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100184573,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
2100184607,another group,not detected,,another situation
2100184622,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100184623,man,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
2100184676,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100184686,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entry on the signal FREE
2100184706,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100184786,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100184850,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100184906,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100184909,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2100184913,man,"inattention, distraction",sudden change in walking direction,another situation
2100185004,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100185005,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100185065,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2100185159,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2100185162,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
2100185167,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
2100185234,Woman,"inattention, distraction",sudden entry into the road from a boarding or dividing island,crossing just in front of or behind a vehicle at a bus stop
2100185292,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"confused, hasty, indecisive behaviour",another situation
